jaa	d1007-u3-w1	ja
ich	d1007-u4-w1	ich
wän	d1007-u4-w3	wann
das	d1007-u4-w4	dass
ich	d1007-u4-w5	ich
geboore	d1007-u4-w6	geboren
bì	d1007-u4-w7	bin
s	d1007-u6-w1	es
ìch	d1007-u6-w2	ich
bin	d1007-u6-w3	bin
am	d1007-u6-w4	am
sächsezwänzgischte	d1007-u6-w5	sechsundzwanzigsten
jänner	d1007-u6-w6	januar
nünzehundertzwölf	d1007-u6-w7	neunzehnhundertzwölf
gibore	d1007-u6-w8	geboren
und	d1007-u7-w1	und
zwaar	d1007-u7-w2	zwar
bin	d1007-u7-w3	bin
ììch	d1007-u7-w4	ich
in	d1007-u7-w5	in
wolfeschiesse	d1007-u7-w6	wolfenschiessen
mii	d1007-u7-w7	mein
vatter	d1007-u7-w8	vater
und	d1007-u7-w9	und
mi	d1007-u7-w10	meine
mueter	d1007-u7-w11	mutter
sind	d1007-u7-w12	sind
wolfeschiesser	d1007-u7-w13	wolfenschiesser
bürger	d1007-u7-w14	bürger
gsi	d1007-u7-w15	gewesen
und	d1007-u8-w1	und
deen	d1007-u8-w2	dann
mit	d1007-u8-w3	mit
füüf	d1007-u8-w4	fünf
jaare	d1007-u8-w5	jahren
sim	d1007-u8-w6	sind
mir	d1007-u8-w7	wir
nach	d1007-u8-w8	nach
schtans	d1007-u8-w9	stans
cho	d1007-u8-w10	gekommen
und	d1007-u9-w1	und
daa	d1007-u9-w2	da
bin	d1007-u9-w3	bin
ìch	d1007-u9-w4	ich
i	d1007-u9-w5	in
d	d1007-u9-w6	die
schuel	d1007-u9-w7	schule
sächs	d1007-u9-w8	sechs
jaar	d1007-u9-w9	jahre
und	d1007-u9-w10	und
nach	d1007-u9-w11	nach
sächs	d1007-u9-w12	sechs
jaar	d1007-u9-w13	jahren
schuel	d1007-u9-w14	schule
het	d1007-u10-w1	hat
mer	d1007-u10-w2	man
müesse	d1007-u10-w3	müssen
s	d1007-u10-w4	das
pünteli	d1007-u10-w5	bündelchen
phaken	d1007-u10-w6	packen
und	d1007-u10-w7	und
sis	d1007-u10-w8	sein
broot	d1007-u10-w9	brot
verdiene	d1007-u10-w10	verdienen
mir	d1007-u11-w1	wir
sind	d1007-u11-w2	sind
mi	d1007-u11-w3	meine
mueter	d1007-u11-w4	mutter
isch	d1007-u11-w5	ist
am	d1007-u11-w6	am
zääte	d1007-u11-w7	zehnten
chind	d1007-u11-w8	kind
gschtorbe	d1007-u11-w9	gestorben
ja	d1007-u12-w1	ja
ìch	d1007-u12-w2	ich
bì	d1007-u12-w3	bin
de	d1007-u12-w4	dann
füfze	d1007-u12-w5	fünfzehn
järig	d1007-u12-w6	jährig
gsii	d1007-u12-w7	gewesen
wo	d1007-u12-w8	wo
